transaction_id,account_id,transaction_amount,transaction_date,transaction_type,location,channel,login_attempts,account_balance,amount_anomaly,login_attempt_anomaly,channel_risk,high_debit_risk,low_bal_high_amount,anomaly_score,final_flag
TX000038,AC00202,649.28,2023-03-02,Debit,San Jose,ATM,1,4875.86,0,0,0,0,0,0,0
TX000039,AC00478,795.31,2023-10-12,Debit,Mesa,ATM,2,7914.88,0,0,0,0,0,0,0
TX000040,AC00405,335.63,2023-01-24,Debit,Oklahoma City,Online,1,1019.39,0,0,1,0,0,1,0
TX000041,AC00421,328.47,2023-07-31,Debit,San Antonio,ATM,1,4323.66,0,0,0,0,0,0,0
TX000042,AC00480,34.02,2023-01-09,Debit,Philadelphia,Online,1,14214.48,0,0,1,0,0,1,0
TX000043,AC00120,241.42,2023-04-20,Credit,Charlotte,Online,1,13357.02,0,0,1,0,0,1,0
TX000044,AC00117,55.32,2023-04-12,Debit,Tucson,ATM,1,241.79,0,0,0,0,0,0,0
TX000045,AC00011,304.31,2023-07-26,Debit,Louisville,Branch,1,868.61,0,0,0,0,0,0,0
TX000046,AC00401,435.27,2023-10-04,Debit,Chicago,Branch,1,4673.28,0,0,0,0,0,0,0
TX000047,AC00282,164.49,2023-12-13,Debit,Baltimore,Branch,1,1509.27,0,0,0,0,0,0,0
TX000048,AC00439,510.24,2023-10-09,Debit,Oklahoma City,Online,1,781.70,0,0,1,0,0,1,0
TX000049,AC00296,626.90,2023-11-27,Debit,Denver,Online,1,265.51,0,0,1,0,1,2,0
TX000050,AC00471,22.01,2023-03-27,Credit,Sacramento,Online,1,1335.09,0,0,1,0,0,1,0
TX000051,AC00159,425.34,2023-02-13,Credit,Kansas City,Online,1,3907.54,0,0,1,0,0,1,0
TX000052,AC00482,424.56,2023-02-21,Debit,Omaha,Online,1,5183.85,0,0,1,0,0,1,0
TX000053,AC00115,85.43,2023-06-07,Debit,Virginia Beach,Branch,1,14904.90,0,0,0,0,0,0,0
TX000054,AC00055,169.50,2023-09-07,Debit,San Diego,Branch,1,918.88,0,0,0,0,0,0,0
TX000055,AC00419,104.63,2023-03-29,Debit,Omaha,ATM,1,4477.78,0,0,0,0,0,0,0
TX000056,AC00374,316.95,2023-08-04,Debit,Mesa,Branch,1,1324.03,0,0,0,0,0,0,0
TX000057,AC00271,60.54,2023-12-14,Credit,Columbus,Branch,1,3534.93,0,0,0,0,0,0,0
TX000058,AC00456,292.56,2023-03-03,Credit,Dallas,Branch,1,4638.37,0,0,0,0,0,0,0
TX000059,AC00143,386.52,2023-06-09,Debit,Indianapolis,Branch,1,5630.61,0,0,0,0,0,0,0
TX000060,AC00427,112.07,2023-10-02,Debit,Kansas City,Branch,1,930.30,0,0,0,0,0,0,0
TX000061,AC00438,568.52,2023-10-06,Debit,Indianapolis,ATM,1,5499.91,0,0,0,0,0,0,0
TX000062,AC00002,263.99,2023-05-16,Debit,Dallas,Branch,2,4175.02,0,0,0,0,0,0,0
TX000063,AC00425,349.64,2023-11-07,Debit,Las Vegas,Online,1,6651.62,0,0,1,0,0,1,0
TX000064,AC00325,601.40,2023-05-30,Credit,Philadelphia,Branch,1,8458.29,0,0,0,0,0,0,0
TX000065,AC00434,5.77,2023-11-02,Debit,Charlotte,Online,1,13988.12,0,0,1,0,0,1,0
TX000066,AC00242,201.33,2023-03-29,Credit,Nashville,Branch,1,2585.07,0,0,0,0,0,0,0
TX000067,AC00319,298.42,2023-04-25,Debit,Indianapolis,Branch,1,3014.75,0,0,0,0,0,0,0
TX000068,AC00460,521.06,2023-04-18,Debit,Albuquerque,Branch,1,1951.42,0,0,0,0,0,0,0
TX000069,AC00461,117.28,2023-02-09,Credit,Austin,Online,1,3665.77,0,0,1,0,0,1,0
TX000070,AC00395,189.12,2023-11-13,Credit,Indianapolis,Branch,1,977.01,0,0,0,0,0,0,0
TX000071,AC00217,133.55,2023-07-18,Debit,Atlanta,ATM,1,3846.28,0,0,0,0,0,0,0
TX000072,AC00053,143.21,2023-01-13,Debit,Dallas,Online,1,6374.82,0,0,1,0,0,1,0
TX000073,AC00282,24.77,2023-07-04,Debit,Boston,ATM,1,5866.01,0,0,0,0,0,0,0
TX000074,AC00110,233.92,2023-10-20,Credit,Jacksonville,Online,1,6537.62,0,0,1,0,0,1,0
TX000075,AC00265,1212.51,2023-10-04,Debit,Indianapolis,Branch,1,605.95,1,0,0,1,1,3,1
TX000076,AC00239,232.12,2023-12-28,Debit,Omaha,ATM,1,6689.87,0,0,0,0,0,0,0
TX000077,AC00007,162.63,2023-06-12,Debit,Kansas City,Online,1,634.17,0,0,1,0,0,1,0
TX000078,AC00022,91.53,2023-03-13,Debit,Milwaukee,Branch,1,14676.05,0,0,0,0,0,0,0
TX000079,AC00464,120.29,2023-12-18,Debit,Miami,Branch,1,1362.39,0,0,0,0,0,0,0
TX000080,AC00014,174.25,2023-07-17,Debit,Seattle,Online,1,10528.34,0,0,1,0,0,1,0
TX000081,AC00406,183.71,2023-06-19,Debit,Denver,ATM,1,552.52,0,0,0,0,0,0,0
TX000082,AC00445,345.39,2023-10-23,Credit,Phoenix,Online,1,6451.96,0,0,1,0,0,1,0
TX000083,AC00236,922.55,2023-01-23,Debit,Detroit,ATM,1,4715.84,0,0,0,0,0,0,0
TX000084,AC00220,259.91,2023-11-06,Debit,Denver,Online,1,7176.86,0,0,1,0,0,1,0
TX000085,AC00140,154.71,2023-07-03,Debit,San Diego,Online,1,1523.72,0,0,1,0,0,1,0
TX000086,AC00098,1340.19,2023-09-29,Credit,Austin,Online,1,8654.28,1,0,1,0,0,2,0
TX000087,AC00303,24.56,2023-10-20,Debit,Mesa,Branch,1,9869.93,0,0,0,0,0,0,0
TX000088,AC00373,568.07,2023-08-28,Debit,Washington,ATM,1,10556.81,0,0,0,0,0,0,0
TX000089,AC00438,9.61,2023-06-22,Credit,San Diego,Online,1,12883.91,0,0,1,0,0,1,0
TX000090,AC00437,392.96,2023-11-20,Debit,Kansas City,Online,1,791.65,0,0,1,0,0,1,0
TX000091,AC00106,716.93,2023-09-14,Credit,Milwaukee,Online,1,4064.02,0,0,1,0,0,1,0
TX000092,AC00310,223.85,2023-10-02,Debit,Kansas City,ATM,4,2929.91,0,1,0,0,0,1,0
TX000093,AC00149,230.66,2023-03-27,Debit,Houston,Branch,1,618.05,0,0,0,0,0,0,0
TX000094,AC00373,442.12,2023-12-21,Debit,Los Angeles,Online,1,1375.80,0,0,1,0,0,1,0
TX000095,AC00425,644.17,2023-03-02,Debit,San Antonio,ATM,1,1143.52,0,0,0,0,0,0,0
TX000096,AC00010,508.68,2023-06-26,Credit,Mesa,Branch,1,7708.41,0,0,0,0,0,0,0
TX000097,AC00348,858.63,2023-04-18,Credit,San Francisco,Branch,1,1872.96,0,0,0,0,0,0,0
TX000098,AC00011,25.36,2023-07-17,Debit,Louisville,ATM,1,201.04,0,0,0,0,0,0,0
TX000099,AC00453,147.62,2023-09-01,Debit,Charlotte,Branch,1,2115.80,0,0,0,0,0,0,0
TX000100,AC00178,115.02,2023-09-11,Debit,San Antonio,Branch,1,7643.66,0,0,0,0,0,0,0
TX000101,AC00265,383.37,2023-01-24,Debit,Fort Worth,Branch,1,8901.93,0,0,0,0,0,0,0
TX000102,AC00018,98.54,2023-08-11,Credit,El Paso,Online,1,9383.43,0,0,1,0,0,1,0
TX000103,AC00075,83.24,2023-10-16,Credit,Fort Worth,Branch,1,1181.31,0,0,0,0,0,0,0
TX000104,AC00464,196.16,2023-02-24,Debit,Virginia Beach,Branch,1,9418.86,0,0,0,0,0,0,0
TX000105,AC00170,129.94,2023-01-02,Debit,Las Vegas,ATM,1,7954.92,0,0,0,0,0,0,0
TX000106,AC00235,306.90,2023-11-30,Debit,Colorado Springs,Online,1,9418.08,0,0,1,0,0,1,0
TX000107,AC00013,114.98,2023-11-01,Debit,Seattle,Online,1,6144.68,0,0,1,0,0,1,0
TX000108,AC00397,756.59,2023-03-06,Debit,Sacramento,Branch,1,420.65,0,0,0,0,1,1,0
TX000109,AC00423,503.76,2023-11-27,Debit,Los Angeles,Online,1,447.82,0,0,1,0,1,2,0
TX000110,AC00154,143.03,2023-07-31,Debit,San Antonio,ATM,1,7981.45,0,0,0,0,0,0,0
TX000111,AC00068,1045.22,2023-11-22,Debit,Columbus,ATM,1,1829.90,0,0,0,0,0,0,0
TX000112,AC00318,245.54,2023-03-21,Debit,New York,ATM,1,985.06,0,0,0,0,0,0,0
TX000113,AC00396,254.37,2023-04-20,Credit,Dallas,Online,1,8849.26,0,0,1,0,0,1,0
TX000114,AC00121,213.76,2023-03-01,Credit,Dallas,ATM,1,3528.72,0,0,0,0,0,0,0
TX000115,AC00336,327.86,2023-02-10,Debit,Fresno,Online,1,480.16,0,0,1,0,0,1,0
TX000116,AC00468,2.50,2023-07-21,Debit,San Diego,Online,1,12145.27,0,0,1,0,0,1,0
TX000117,AC00282,300.08,2023-10-09,Credit,Austin,Online,1,13546.75,0,0,1,0,0,1,0
TX000118,AC00498,56.98,2024-01-01,Credit,Oklahoma City,ATM,2,5688.37,0,0,0,0,0,0,0
TX000119,AC00085,407.65,2023-07-07,Debit,Boston,Online,1,8346.64,0,0,1,0,0,1,0
TX000120,AC00092,115.83,2023-05-22,Debit,Fresno,Branch,1,6481.04,0,0,0,0,0,0,0
TX000121,AC00295,53.57,2023-08-16,Debit,Houston,ATM,1,1651.33,0,0,0,0,0,0,0
TX000122,AC00358,63.34,2023-11-17,Credit,Detroit,Online,1,11174.94,0,0,1,0,0,1,0
TX000123,AC00311,317.87,2023-05-22,Debit,Detroit,Online,1,145.50,0,0,1,0,1,2,0
TX000124,AC00066,331.65,2023-08-25,Debit,Portland,Online,1,4172.57,0,0,1,0,0,1,0
TX000125,AC00340,5.04,2023-11-27,Debit,Washington,ATM,1,5558.36,0,0,0,0,0,0,0
TX000126,AC00284,214.54,2023-08-04,Credit,Detroit,Online,1,11151.53,0,0,1,0,0,1,0
TX000127,AC00208,598.81,2023-09-04,Debit,Philadelphia,Branch,1,1415.52,0,0,0,0,0,0,0
TX000128,AC00176,841.28,2023-08-09,Debit,Tucson,Online,1,1103.64,0,0,1,0,0,1,0
TX000129,AC00053,38.15,2023-09-07,Debit,Mesa,Online,1,303.68,0,0,1,0,0,1,0
TX000130,AC00320,1036.66,2023-07-11,Debit,San Antonio,Branch,1,5541.57,0,0,0,0,0,0,0
TX000131,AC00382,124.72,2023-07-03,Debit,Oklahoma City,Branch,1,6309.80,0,0,0,0,0,0,0
TX000132,AC00384,302.45,2023-09-25,Credit,San Antonio,Branch,1,5133.61,0,0,0,0,0,0,0
TX000133,AC00203,208.04,2023-11-20,Debit,Louisville,Online,1,9344.98,0,0,1,0,0,1,0
TX000134,AC00498,5.77,2023-11-17,Credit,Los Angeles,Branch,1,1117.97,0,0,0,0,0,0,0
TX000135,AC00349,381.33,2023-08-21,Debit,Albuquerque,ATM,1,11835.35,0,0,0,0,0,0,0
TX000136,AC00177,16.16,2023-10-16,Debit,Milwaukee,ATM,1,14401.17,0,0,0,0,0,0,0
TX000137,AC00284,486.08,2023-06-20,Debit,Oklahoma City,Online,1,1748.69,0,0,1,0,0,1,0
TX000138,AC00272,336.39,2023-01-16,Debit,San Antonio,Branch,1,1000.46,0,0,0,0,0,0,0
TX000139,AC00405,997.43,2023-11-22,Debit,Seattle,Online,1,6810.05,0,0,1,0,0,1,0
TX000140,AC00385,234.57,2023-09-01,Debit,Chicago,Online,1,263.98,0,0,1,0,0,1,0
TX000141,AC00403,6.00,2023-10-23,Debit,Chicago,Online,1,5442.76,0,0,1,0,0,1,0
TX000142,AC00114,1049.92,2023-10-23,Debit,Detroit,ATM,1,2037.85,0,0,0,0,0,0,0
TX000143,AC00163,227.14,2023-07-03,Debit,Charlotte,ATM,1,341.94,0,0,0,0,0,0,0
TX000144,AC00108,233.74,2023-10-24,Credit,Oklahoma City,Online,1,1066.59,0,0,1,0,0,1,0
TX000145,AC00397,113.02,2023-09-25,Credit,Jacksonville,Branch,1,6077.96,0,0,0,0,0,0,0
TX000146,AC00434,45.85,2023-02-16,Debit,Los Angeles,ATM,1,1659.15,0,0,0,0,0,0,0
TX000147,AC00385,973.39,2023-08-30,Debit,Sacramento,Branch,1,2042.22,0,0,0,0,0,0,0
TX000148,AC00161,514.95,2023-04-13,Debit,New York,Online,5,421.93,0,1,1,0,1,3,1
TX000149,AC00333,415.50,2023-07-28,Debit,Memphis,ATM,1,10113.66,0,0,0,0,0,0,0
TX000150,AC00279,265.76,2023-02-06,Debit,Philadelphia,Online,1,4446.17,0,0,1,0,0,1,0
TX000151,AC00072,69.40,2023-07-24,Debit,Virginia Beach,Online,1,6452.77,0,0,1,0,0,1,0
TX000152,AC00242,332.93,2023-11-20,Credit,Albuquerque,Branch,1,2788.20,0,0,0,0,0,0,0
TX000153,AC00303,267.90,2023-10-09,Debit,San Antonio,Online,1,596.16,0,0,1,0,0,1,0
TX000154,AC00442,496.03,2023-11-03,Debit,San Francisco,Branch,1,12904.66,0,0,0,0,0,0,0
TX000155,AC00087,376.26,2023-02-15,Debit,Tucson,ATM,1,9062.40,0,0,0,0,0,0,0
TX000156,AC00174,83.02,2023-09-04,Credit,Seattle,Online,1,9009.56,0,0,1,0,0,1,0
TX000157,AC00421,93.26,2023-07-27,Credit,New York,Online,1,1152.20,0,0,1,0,0,1,0
TX000158,AC00111,803.37,2023-04-17,Credit,Memphis,Branch,1,12168.37,0,0,0,0,0,0,0
TX000159,AC00275,35.76,2023-09-19,Debit,Charlotte,Branch,1,611.86,0,0,0,0,0,0,0
TX000160,AC00492,28.53,2023-05-31,Debit,Washington,Online,1,8670.53,0,0,1,0,0,1,0
TX000161,AC00380,139.53,2023-10-09,Credit,Louisville,Online,1,10098.86,0,0,1,0,0,1,0
TX000162,AC00227,307.57,2023-01-09,Debit,Detroit,Branch,1,5307.74,0,0,0,0,0,0,0
TX000163,AC00257,60.65,2023-05-26,Credit,Tucson,Branch,1,1047.28,0,0,0,0,0,0,0
TX000164,AC00062,74.86,2023-08-14,Debit,Nashville,Branch,1,6921.48,0,0,0,0,0,0,0
TX000165,AC00383,117.97,2023-11-24,Debit,Kansas City,Branch,1,1475.46,0,0,0,0,0,0,0
TX000166,AC00182,231.91,2023-01-31,Debit,Memphis,ATM,1,112.76,0,0,0,0,1,1,0
TX000167,AC00478,126.21,2023-02-14,Debit,Baltimore,Branch,1,5669.66,0,0,0,0,0,0,0
TX000168,AC00332,506.28,2023-05-02,Credit,Chicago,Online,2,1309.95,0,0,1,0,0,1,0
TX000169,AC00202,304.35,2023-12-04,Debit,Houston,Branch,1,4057.10,0,0,0,0,0,0,0
TX000170,AC00331,281.85,2023-05-16,Debit,Detroit,ATM,1,1585.98,0,0,0,0,0,0,0
TX000171,AC00474,777.88,2023-03-20,Debit,Houston,Branch,1,6825.55,0,0,0,0,0,0,0
TX000172,AC00268,119.18,2023-08-25,Debit,Los Angeles,Branch,1,5516.50,0,0,0,0,0,0,0
TX000173,AC00247,177.19,2023-05-15,Debit,Chicago,Online,1,5343.30,0,0,1,0,0,1,0
TX000174,AC00298,260.88,2023-05-29,Debit,Denver,Branch,1,903.05,0,0,0,0,0,0,0
TX000175,AC00106,169.47,2023-03-22,Debit,Chicago,Online,1,1806.16,0,0,1,0,0,1,0
TX000176,AC00035,73.23,2023-05-19,Debit,Portland,Branch,1,787.74,0,0,0,0,0,0,0
TX000177,AC00363,1362.55,2023-02-10,Debit,El Paso,ATM,1,2429.68,1,0,0,1,0,2,0
TX000178,AC00273,792.57,2023-05-22,Debit,Baltimore,ATM,1,770.37,0,0,0,0,1,1,0
TX000179,AC00156,237.06,2023-12-18,Debit,Phoenix,Online,1,1182.77,0,0,1,0,0,1,0
TX000180,AC00010,34.17,2023-11-21,Credit,Philadelphia,Online,1,726.55,0,0,1,0,0,1,0
TX000181,AC00036,740.25,2023-07-19,Debit,Philadelphia,Online,1,14464.30,0,0,1,0,0,1,0
TX000182,AC00149,453.54,2023-04-19,Debit,Albuquerque,ATM,1,12046.30,0,0,0,0,0,0,0
TX000183,AC00225,300.47,2023-11-13,Debit,Jacksonville,Branch,1,7885.64,0,0,0,0,0,0,0
TX000184,AC00077,110.93,2023-04-07,Credit,Virginia Beach,Branch,1,1952.35,0,0,0,0,0,0,0
TX000185,AC00440,201.69,2023-01-03,Debit,Las Vegas,ATM,1,7328.52,0,0,0,0,0,0,0
TX000186,AC00321,399.21,2023-01-30,Debit,Portland,ATM,1,3210.39,0,0,0,0,0,0,0
TX000187,AC00099,1041.88,2023-09-06,Debit,Jacksonville,Online,1,5726.20,0,0,1,0,0,1,0
TX000188,AC00258,630.36,2023-03-02,Debit,Mesa,ATM,1,1363.65,0,0,0,0,0,0,0
TX000189,AC00132,10.94,2023-10-23,Credit,Philadelphia,ATM,1,1241.99,0,0,0,0,0,0,0
TX000190,AC00113,215.90,2023-01-04,Debit,Los Angeles,ATM,1,7873.28,0,0,0,0,0,0,0
TX000191,AC00396,1422.55,2023-07-10,Debit,Washington,Branch,1,5674.32,1,0,0,1,0,2,0
TX000192,AC00099,226.37,2023-09-18,Credit,Louisville,Branch,1,9840.04,0,0,0,0,0,0,0
TX000193,AC00265,444.89,2023-09-11,Credit,Las Vegas,Branch,1,10328.23,0,0,0,0,0,0,0
TX000194,AC00047,280.57,2023-01-27,Credit,Virginia Beach,Online,1,293.24,0,0,1,0,0,1,0
TX000195,AC00005,488.54,2023-07-03,Debit,Jacksonville,Branch,1,7486.63,0,0,0,0,0,0,0
TX000196,AC00363,3.30,2023-03-27,Credit,Los Angeles,Branch,1,11385.37,0,0,0,0,0,0,0
TX000197,AC00426,199.39,2023-08-21,Debit,Colorado Springs,Branch,1,7264.79,0,0,0,0,0,0,0
TX000198,AC00107,20.36,2023-07-24,Debit,Tucson,Branch,1,2762.48,0,0,0,0,0,0,0
TX000199,AC00237,113.64,2023-10-24,Debit,Detroit,Online,1,6675.03,0,0,1,0,0,1,0
TX000200,AC00358,493.11,2023-07-31,Debit,Colorado Springs,Branch,1,7432.99,0,0,0,0,0,0,0
TX000201,AC00113,307.41,2023-06-12,Debit,Los Angeles,ATM,1,1057.00,0,0,0,0,0,0,0
TX000202,AC00010,11.18,2023-11-30,Debit,Atlanta,Online,1,5956.89,0,0,1,0,0,1,0
TX000203,AC00499,313.82,2023-11-15,Debit,Tucson,Branch,1,7261.59,0,0,0,0,0,0,0
TX000204,AC00380,51.00,2023-01-30,Debit,Seattle,Branch,1,4943.16,0,0,0,0,0,0,0
TX000205,AC00452,140.98,2023-05-25,Debit,Memphis,Branch,1,8127.48,0,0,0,0,0,0,0
TX000206,AC00020,288.04,2023-08-24,Debit,Denver,ATM,1,1748.02,0,0,0,0,0,0,0
TX000207,AC00181,800.55,2023-05-04,Debit,Oklahoma City,ATM,1,9660.22,0,0,0,0,0,0,0
TX000208,AC00370,485.54,2023-02-06,Debit,Houston,ATM,1,6371.51,0,0,0,0,0,0,0
TX000209,AC00453,521.15,2023-02-17,Debit,Kansas City,ATM,1,9442.47,0,0,0,0,0,0,0
TX000210,AC00339,321.79,2023-08-07,Credit,Raleigh,ATM,1,5959.20,0,0,0,0,0,0,0
TX000211,AC00249,304.93,2023-02-24,Debit,Portland,ATM,1,13531.22,0,0,0,0,0,0,0
TX000212,AC00479,432.08,2023-07-31,Debit,El Paso,ATM,1,11500.62,0,0,0,0,0,0,0
TX000213,AC00301,694.20,2023-12-07,Debit,Milwaukee,ATM,1,1389.37,0,0,0,0,0,0,0
TX000214,AC00380,116.86,2023-03-20,Debit,Louisville,ATM,1,6706.56,0,0,0,0,0,0,0
TX000215,AC00130,386.81,2023-03-03,Credit,Detroit,Online,1,7175.29,0,0,1,0,0,1,0
TX000216,AC00006,74.88,2023-05-24,Debit,Atlanta,ATM,1,420.67,0,0,0,0,0,0,0
TX000217,AC00096,195.76,2023-05-22,Debit,Philadelphia,Branch,1,7323.53,0,0,0,0,0,0,0
TX000218,AC00108,134.70,2023-08-21,Debit,Fort Worth,ATM,1,8395.85,0,0,0,0,0,0,0
TX000219,AC00070,890.24,2023-07-07,Credit,Las Vegas,Online,1,5140.93,0,0,1,0,0,1,0
TX000220,AC00417,361.27,2023-01-06,Debit,Omaha,ATM,1,7945.57,0,0,0,0,0,0,0
TX000221,AC00391,131.56,2023-10-19,Debit,Charlotte,Branch,1,5873.54,0,0,0,0,0,0,0
TX000222,AC00414,485.51,2023-11-28,Credit,Milwaukee,Online,1,3074.45,0,0,1,0,0,1,0
TX000223,AC00004,547.87,2023-07-10,Debit,Columbus,ATM,1,6155.76,0,0,0,0,0,0,0
TX000224,AC00047,457.30,2023-06-26,Debit,Virginia Beach,Online,1,8318.29,0,0,1,0,0,1,0
TX000225,AC00198,506.24,2023-01-13,Debit,Chicago,ATM,1,230.09,0,0,0,0,1,1,0
TX000226,AC00314,486.59,2023-12-19,Debit,Indianapolis,Branch,1,2513.56,0,0,0,0,0,0,0
TX000227,AC00212,163.68,2023-09-28,Debit,San Diego,Branch,1,10090.05,0,0,0,0,0,0,0
TX000228,AC00115,581.65,2023-01-09,Debit,Boston,ATM,1,480.19,0,0,0,0,1,1,0
TX000229,AC00055,52.01,2023-11-07,Debit,Mesa,ATM,1,1120.88,0,0,0,0,0,0,0
TX000230,AC00427,630.24,2023-11-29,Debit,Boston,ATM,1,370.81,0,0,0,0,1,1,0
TX000231,AC00401,523.74,2023-11-02,Debit,Oklahoma City,ATM,1,13498.55,0,0,0,0,0,0,0
TX000232,AC00430,705.60,2023-02-20,Debit,Phoenix,Branch,3,14804.70,0,0,0,0,0,0,0
TX000233,AC00299,217.50,2023-10-23,Credit,Denver,Branch,1,3057.40,0,0,0,0,0,0,0
TX000234,AC00345,91.48,2023-01-23,Debit,Fort Worth,ATM,1,14942.78,0,0,0,0,0,0,0
TX000235,AC00430,5.25,2023-11-13,Debit,San Jose,ATM,1,14143.32,0,0,0,0,0,0,0
TX000236,AC00175,54.03,2023-09-19,Credit,Milwaukee,ATM,1,6736.30,0,0,0,0,0,0,0
TX000237,AC00177,736.73,2023-11-27,Debit,Memphis,Branch,1,3313.07,0,0,0,0,0,0,0
TX000238,AC00225,368.91,2023-03-10,Debit,Virginia Beach,Branch,1,829.71,0,0,0,0,0,0,0
TX000239,AC00394,33.06,2023-01-17,Credit,Fort Worth,Online,1,1540.87,0,0,1,0,0,1,0
TX000240,AC00026,66.50,2023-05-04,Credit,Louisville,Online,1,6820.23,0,0,1,0,0,1,0
TX000241,AC00076,177.08,2023-01-06,Debit,Las Vegas,Online,1,13475.14,0,0,1,0,0,1,0
TX000242,AC00215,588.54,2023-02-06,Debit,Portland,Branch,1,714.45,0,0,0,0,0,0,0
TX000243,AC00202,173.50,2023-10-23,Debit,Nashville,ATM,1,1306.91,0,0,0,0,0,0,0
TX000244,AC00400,78.33,2023-07-31,Credit,Memphis,Online,1,7255.33,0,0,1,0,0,1,0
TX000245,AC00004,40.66,2024-01-01,Debit,Louisville,Branch,1,1153.84,0,0,0,0,0,0,0
TX000246,AC00260,97.22,2023-02-20,Credit,Atlanta,Branch,1,6647.73,0,0,0,0,0,0,0
TX000247,AC00415,34.07,2023-11-06,Debit,Philadelphia,Branch,1,8709.77,0,0,0,0,0,0,0
TX000248,AC00337,492.06,2023-10-19,Debit,Fresno,Online,1,857.90,0,0,1,0,0,1,0
TX000249,AC00253,842.01,2023-09-12,Credit,Virginia Beach,Online,1,509.45,0,0,1,0,1,2,0
